Facility Name,State,1995 NOX Emissions (tons),2019 NOX Emissions (tons),1995 vs 2019 NOX Emissions (tons),Latitude (degrees),Longitude (degrees)
Center Generating Station,CA,,1.00,,33.9297,-118.1047
Chula Vista Energy Center,CA,,0.00,,32.5914,-117.0586
Coalinga Cogeneration Facility,CA,,,,36.1807,-120.3885
Colusa Generating Station,CA,,29.00,,39.3648,-122.268
Contra Costa Generating Station,CA,932,,,38.0184,-121.761
Coolwater Generating Station,CA,"5,242",,,34.8622,-116.854
Cosumnes Power Plant,CA,,51.00,,38.3383,-121.1239
Creed Energy Center,CA,,1.00,,38.2419,-121.8551
Cuyamaca Peak Energy,CA,,1.00,,32.7971,-116.972
DTE Stockton,CA,,103.00,,37.9416,-121.3273
"Delano Energy Center, LLC",CA,,0.00,,35.7909,-119.2945
"Delta Energy Center, LLC",CA,,109.00,,38.0167,-121.8439
Donald Von Raesfeld,CA,,18.00,,37.3767,-121.9508
"Dynegy South Bay, LLC",CA,"1,189",,,32.6131,-117.0964
El Cajon Energy Center,CA,,1.00,,32.7971,-116.972
El Centro,CA,0,48.00,48,32.8022,-115.54
El Segundo,CA,443,10.00,-433,33.9106,-118.425
Elk Hills Power,CA,,66.00,,35.2802,-119.4699
"Escondido Energy Center, LLC",CA,,1.00,,33.1261,-117.1172
Etiwanda Generating Station,CA,485,,,34.0911,-117.5256
Feather River Energy Center,CA,,12.00,,39.1088,-121.6133
"Fresno Cogeneration Partners, LP",CA,,0.00,,36.6183,-120.1
Gateway Generating Station,CA,,66.00,,38.0167,-121.7592
"Gilroy Energy Center, LLC",CA,,4.00,,36.999,-121.5363
Glenarm,CA,,7.00,,34.1256,-118.1474
Goal Line,CA,,1.00,,33.1185,-117.0995
Goose Haven Energy Center,CA,,1.00,,38.2271,-121.844
Grapeland Generating Station,CA,,1.00,,34.09,-117.534
Grayson Power Plant,CA,12,18.00,6,34.1556,-118.2782
Greenleaf One,CA,,4.00,,39.0536,-121.6942
Hanford Energy Park Peaker,CA,,1.00,,36.2689,-119.6469
Harbor Generating Station,CA,35,10.00,-25,33.7691,-118.2662
Haynes Generating Station,CA,238,77.00,-161,33.7639,-118.0942
Henrietta Peaker Plant,CA,,3.00,,36.2397,-119.9044
High Desert Power Project,CA,,106.00,,34.5953,-117.3647
Humboldt Bay,CA,125,,,40.7415,-124.2103
Hunters Point,CA,650,,,37.7372,-122.378
Indigo Generation Facility,CA,,4.00,,33.9114,-116.5533
Inland Empire Energy Center,CA,,1.00,,33.7393,-117.1701
Ivanpah 1,CA,,2.00,,35.5356,-115.4515
Ivanpah 2,CA,,3.00,,35.5561,-115.4686
Ivanpah 3,CA,,2.00,,35.5808,-115.4825
King City Power Plant,CA,,3.00,,36.225,-121.1278
Kingsburg Cogen Facility,CA,,0.00,,36.547,-119.578
La Paloma Generating Plant,CA,,33.00,,35.2956,-119.5919
Lake,CA,,2.00,,34.1775,-118.3147
Lambie Energy Center,CA,,2.00,,38.2216,-121.8683
Larkspur Energy Faciity,CA,,5.00,,32.5672,-116.9444
Live Oak Limited,CA,,34.00,,35.4837,-119.0298
Lodi Energy Center,CA,,25.00,,38.088,-121.3867
Long Beach Generating Station,CA,,4.00,,33.7641,-118.2248
Los Esteros Critical Energy Facility,CA,,5.00,,37.425,-121.9319
"Los Medanos Energy Center, LLC",CA,,77.00,,38.03,-121.8708
Magnolia,CA,,30.00,,34.1788,-118.3153
Magnolia (OLD),CA,2,,,34.1781,-118.3139
Malaga Power,CA,,2.00,,36.6894,-119.7399
Malburg Generating Station,CA,,19.00,,33.9983,-118.2219
Mandalay Generating Station,CA,"12,134",,,34.2072,-119.2511
Mariposa Energy Project,CA,,7.00,,37.7965,-121.6049
Marsh Landing Generating Station,CA,,3.00,,38.0171,-121.7651
McGrath Generating Station,CA,,1.00,,34.2054,-119.2478
McKittrick Limited,CA,,40.00,,35.3195,-119.662
Metcalf Energy Center,CA,,69.00,,37.2169,-121.7439
Midway Peaking,CA,,5.00,,36.654,-120.5797
Mira Loma Generating Station,CA,,1.00,,34.0054,-117.5604
Miramar Energy Facility,CA,,7.00,,32.8769,-117.1664
"Morro Bay Power Plant, LLC",CA,813,,,35.3747,-120.8578
Moss Landing,CA,"1,743",173.00,"-1,570",36.8042,-121.7775
Mountainview Generating Station,CA,35,69.00,34,34.0836,-117.2408
NCPA Combustion Turbine Project #2,CA,,1.00,,38.088,-121.3871
Niland Gas Turbine Plant,CA,,3.00,,33.2432,-115.498
Olive,CA,28,,,34.1775,-118.3147
Orange Grove Project,CA,,1.00,,33.359,-117.111
Ormond Beach Generating Station,CA,"6,667",8.00,"-6,659",34.1292,-119.1689
"Otay Mesa Energy Center, LLC",CA,,19.00,,32.5733,-116.9153
Palomar Energy Center,CA,,30.00,,33.1192,-117.118
Panoche Energy Center,CA,,31.00,,36.6513,-120.5833
Pastoria Energy Facility,CA,,101.00,,34.9556,-118.844
Pio Pico Energy Center LLC,CA,,7.00,,32.5739,-116.9178
Pittsburg Generating Station (CA),CA,578,,,38.0392,-121.894
Potrero Generating Station,CA,611,,,37.7558,-122.3869
Redding Power Plant,CA,,5.00,,40.5083,-122.4253
Ripon Generation Station,CA,,1.00,,37.7315,-121.116
Riverside Energy Resource Center,CA,,4.00,,33.9636,-117.4528
Riverview Energy Center,CA,,2.00,,38.0145,-121.7901
Roseville Energy Park,CA,,8.00,,38.7926,-121.3823
Russell City Energy Company LLC,CA,,25.00,,37.6341,-122.1326
SCA Cogen II,CA,,24.00,,38.5306,-121.399
Sacramento Power Authority Cogen,CA,,26.00,,38.511,-121.4735
Salinas River Cogeneration Facility,CA,,19.00,,35.9515,-120.8679
Sargent Canyon Cogen Facility,CA,,,,35.9359,-120.8405
Scattergood Generating Station,CA,432,28.00,-404,33.9175,-118.4258
"Sentinel Energy Center, LLC",CA,,35.00,,33.9366,-116.5722
Sunrise Power Company,CA,,38.00,,35.2097,-119.585
Tracy Combined Cycle Power Plant,CA,,41.00,,37.7107,-121.4906
Valley Generating Station,CA,10,71.00,61,34.2481,-118.3903
Walnut Creek Energy Park,CA,,23.00,,34.0078,-117.9425
Walnut Energy Center,CA,,30.00,,37.4878,-120.8956
Wolfskill Energy Center,CA,,1.00,,38.2282,-122.076
Woodland Generation Station,CA,,13.00,,37.6528,-121.0172
Yuba City Energy Center,CA,,14.00,,39.1365,-121.6397
Arapahoe,CO,"4,737",,,39.67,-105.0028
Arapahoe Combustion Turbine Facility,CO,,23.00,,39.6692,-105.0018
Blue Spruce Energy Center,CO,,93.00,,39.7436,-104.68
Brush Power Projects,CO,,55.00,,40.2415,-103.631
