Facility Name,State,1995 NOX Emissions (tons),2019 NOX Emissions (tons),1995 vs 2019 NOX Emissions (tons),Latitude (degrees),Longitude (degrees)
Meredosia,IL,"3,835",,,39.8194,-90.5647
"Morris Cogeneration, LLC",IL,,200.00,,41.4092,-88.3292
Nelson Energy Center,IL,,235.00,,41.7749,-89.6067
Newton,IL,"10,310",1813.00,"-8,497",38.9361,-88.2778
Pinckneyville Power Plant,IL,,35.00,,38.1114,-89.3467
Powerton,IL,"25,501",1580.00,"-23,921",40.5408,-89.6786
Prairie State Generating Station,IL,,4126.00,,38.2792,-89.667
Raccoon Creek Power Plant,IL,,0.00,,38.6996,-88.5392
Rockford Energy Center,IL,,36.00,,42.2403,-89.1025
Rockford II Energy Center,IL,,24.00,,42.2383,-89.1014
"Rocky Road Power, LLC",IL,,27.00,,42.0931,-88.2397
Shelby County,IL,,92.00,,39.2794,-88.4772
Southeast Chicago Energy Project,IL,,44.00,,41.7181,-87.5449
Tilton Power Station,IL,,45.00,,40.1063,-87.6539
University Park Energy,IL,,215.00,,41.4405,-87.7528
Venice,IL,76,8.00,-68,38.6642,-90.1764
Vermilion Power Station,IL,542,,,40.1781,-87.7481
Waukegan,IL,"6,296",821.00,"-5,475",42.3833,-87.8133
Will County,IL,"15,895",411.00,"-15,484",41.6334,-88.0626
Wood River Power Station,IL,"5,705",,,38.8639,-90.1325
Zion Energy Center,IL,,123.00,,42.4776,-87.895
A B Brown Generating Station,IN,"6,713",2424.00,"-4,289",37.9053,-87.715
Alcoa Allowance Management Inc,IN,"10,992",8444.00,"-2,548",37.915,-87.3328
Anderson,IN,,4.00,,40.0529,-85.7389
Bailly Generating Station,IN,"25,842",,,41.6433,-87.1225
Broadway Avenue Generating Station,IN,,,,37.9694,-87.6044
C. C. Perry K Steam Plant,IN,,142.00,,39.7622,-86.1667
Cayuga,IN,"10,249",4408.00,"-5,841",39.9239,-87.4272
Clifty Creek,IN,"61,624",5375.00,"-56,249",38.7383,-85.4192
Dean H Mitchell Generating Station,IN,"5,426",,,41.6394,-87.4069
Edwardsport Generating Station,IN,"1,148",769.00,-379,38.8067,-87.2472
F B Culley Generating Station,IN,"6,116",1003.00,"-5,113",37.91,-87.3267
Frank E Ratts,IN,"4,328",,,38.5201,-87.2662
Georgetown Substation,IN,,20.00,,39.9022,-86.2439
Gibson,IN,"52,973",8121.00,"-44,852",38.3722,-87.7661
Henry County Generating Station,IN,,108.00,,39.9528,-85.5039
Hoosier Energy Lawrence Co Station,IN,,20.00,,38.8003,-86.4511
IPL - Eagle Valley Generating Station,IN,"1,597",115.00,"-1,482",39.4851,-86.4176
IPL - Harding Street Station (EW Stout),IN,"5,748",492.00,"-5,256",39.7119,-86.1975
IPL - Petersburg Generating Station,IN,"22,250",6946.00,"-15,304",38.5267,-87.2525
Lawrenceburg Energy Facility,IN,,283.00,,39.0913,-84.8667
Merom,IN,"12,882",1476.00,"-11,406",39.0694,-87.5108
Michigan City Generating Station,IN,"16,559",534.00,"-16,025",41.7203,-86.9097
Montpelier Electric Gen Station,IN,,122.00,,40.6206,-85.3057
Noblesville,IN,791,60.00,-731,40.0969,-85.9714
R Gallagher,IN,"6,871",84.00,"-6,787",38.2636,-85.8381
R M Schahfer Generating Station,IN,"20,739",4985.00,"-15,754",41.2175,-87.0239
Richmond (IN),IN,,2.00,,39.8383,-84.9665
Rockport,IN,"34,066",6093.00,"-27,973",37.9256,-87.0372
St. Joseph Energy Center LLC,IN,,116.00,,41.6996,-86.4814
State Line Generating Station (IN),IN,"6,842",,,41.7072,-87.5217
Sugar Creek Generating Station,IN,,115.00,,39.3922,-87.5103
Tanners Creek,IN,"32,397",,,39.0831,-84.8581
Vermillion Generating Station,IN,,24.00,,39.9208,-87.445
Wabash River Gen Station,IN,"5,958",19.00,"-5,939",39.53,-87.4247
Wabash River Highland Plant,IN,212,19.00,-193,39.5326,-87.4262
Wheatland Generating Facility LLC,IN,,134.00,,38.6716,-87.2931
Whitewater Valley,IN,"2,343",102.00,"-2,241",39.8028,-84.8953
"Whiting Clean Energy, Inc.",IN,,99.00,,41.6739,-87.4778
Worthington Generation,IN,,28.00,,39.0717,-87.0128
Chanute 2,KS,,127.00,,37.6953,-95.4586
Cimarron River,KS,16,1.00,-15,37.1611,-100.7619
Clifton Station,KS,,17.00,,39.6125,-97.2778
Coffeyville,KS,51,35.00,-16,37.0456,-95.6076
East 12th Street,KS,77,20.00,-57,37.2376,-96.9619
Emporia Energy Center,KS,,223.00,,38.4464,-96.0651
Fort Dodge aka Judson Large,KS,145,6.00,-139,37.7328,-99.9497
Garden City,KS,,125.00,,37.9703,-100.8956
Gordon Evans Energy Center,KS,"2,270",66.00,"-2,204",37.7903,-97.5217
Great Bend Station aka Arthur Mullergren,KS,39,2.00,-37,38.41,-98.8689
Holcomb,KS,"3,052",1611.00,"-1,441",37.9306,-100.9725
Hutchinson Energy Center,KS,"2,098",56.00,"-2,042",38.0906,-97.8747
Jeffrey Energy Center,KS,"27,073",3802.00,"-23,271",39.2825,-96.1153
Kaw,KS,"1,036",,,39.0864,-94.6514
La Cygne,KS,"29,069",2950.00,"-26,119",38.3472,-94.6389
Lawrence Energy Center,KS,"5,825",1892.00,"-3,933",39.0072,-95.2692
McPherson 2,KS,0,141.00,141,38.3461,-97.6761
McPherson Municipal Power Plant #3,KS,,11.00,,38.3864,-97.61
Murray Gill Energy Center,KS,"1,472",,,37.5956,-97.4131
Nearman Creek,KS,"3,890",1461.00,"-2,429",39.1714,-94.6958
Osawatomie Generating Station,KS,,4.00,,38.5325,-94.9042
Quindaro,KS,"3,028",106.00,"-2,922",39.1486,-94.6405
Riverton,KS,"1,764",119.00,"-1,645",37.0719,-94.6986
Tecumseh Energy Center,KS,"2,861",,,39.0522,-95.5669
West Gardner Generating Station,KS,,22.00,,38.7878,-94.985
Big Sandy,KY,"24,083",909.00,"-23,174",38.1707,-82.6176
Bluegrass Generating Station,KY,,54.00,,38.3902,-85.4133
Cane Run,KY,"13,031",441.00,"-12,590",38.1828,-85.8894
Coleman,KY,"12,095",,,37.9628,-86.7917
D B Wilson,KY,"8,748",1247.00,"-7,501",37.4497,-87.0803
E W Brown,KY,"5,907",525.00,"-5,382",37.7889,-84.7139
East Bend,KY,"8,480",1761.00,"-6,719",38.9031,-84.8511
Elmer Smith,KY,"14,073",2425.00,"-11,648",37.7958,-87.0597
Ghent,KY,"34,735",6351.00,"-28,384",38.7497,-85.035
Green River,KY,"3,491",,,37.3636,-87.1214
H L Spurlock,KY,"14,122",2442.00,"-11,680",38.7,-83.8175
HMP and L Station 2,KY,"10,208",20.00,"-10,188",37.6472,-87.5028
Henderson I,KY,162,,,37.8453,-87.5912
John S. Cooper,KY,"3,656",134.00,"-3,522",37,-84.5917
Marshall County,KY,,15.00,,37.0286,-88.3958
Mill Creek,KY,"22,612",6917.00,"-15,695",38.0531,-85.91
Paddy's Run,KY,,37.00,,38.2147,-85.8453
Paducah Power Systems Plant 1,KY,,25.00,,37.0339,-88.6161
Paradise,KY,"134,778",4411.00,"-130,367",37.2608,-86.9783
Pineville,KY,399,,,36.7967,-83.7614
R D Green,KY,"6,916",2872.00,"-4,044",37.6467,-87.5006
Riverside Generating Company,KY,,122.00,,38.1933,-82.6042
Robert Reid,KY,83,34.00,-49,37.6467,-87.5033
Shawnee,KY,"36,809",8026.00,"-28,783",37.1517,-88.775
Smith Generating Facility,KY,,79.00,,37.8824,-84.1025
Trimble County,KY,"7,808",2424.00,"-5,384",38.5847,-85.4117
Tyrone,KY,633,,,38.0478,-84.8483
William C. Dale,KY,"2,703",,,37.8807,-84.2634
Acadia Power Station,LA,,171.00,,30.4284,-92.4112
Arsenal Hill Power Plant,LA,177,141.00,-36,32.5181,-93.7611
Bayou Cove Peaking Power Plant,LA,,19.00,,30.2825,-92.5994
Big Cajun 1,LA,788,67.00,-721,30.6736,-91.3525
Big Cajun 2,LA,"12,878",1989.00,"-10,889",30.7261,-91.3669
Brame Energy Center,LA,"5,297",3736.00,"-1,561",31.395,-92.7167
Calcasieu Plant,LA,,56.00,,30.1603,-93.3458
Carville Energy Center,LA,,398.00,,30.2292,-91.065
Coughlin Power Station,LA,711,625.00,-86,30.8442,-92.2606
D G Hunter,LA,0,,,31.321,-92.4626
Doc Bonin,LA,0,,,30.2368,-92.0476
Dolet Hills Power Station,LA,"12,978",1301.00,"-11,677",32.0306,-93.5692
Hargis-Hebert Electric Generating Statio,LA,,12.00,,30.1694,-91.9923
Houma,LA,0,54.00,54,29.5808,-90.7222
LEPA Unit No. 1,LA,,10.00,,29.6913,-91.193
Lieberman Power Plant,LA,238,71.00,-167,32.7047,-93.9597
Little Gypsy,LA,"8,403",3354.00,"-5,049",30.0033,-90.4611
Louisiana 1,LA,"3,007",1681.00,"-1,326",30.4903,-91.1875
Michoud,LA,"6,880",,,30.0081,-89.9372
Ninemile Point,LA,"14,440",8495.00,"-5,945",29.9472,-90.1458
Ouachita Plant,LA,,192.00,,32.7056,-92.0697
Perryville Power Station,LA,,144.00,,32.6914,-92.0192
Plaquemine Cogen Facility,LA,,479.00,,30.3215,-91.2392
R S Cogen LLC,LA,,789.00,,30.221,-93.2826
R S Nelson,LA,"7,676",2427.00,"-5,249",30.2861,-93.2917
Ruston,LA,0,,,32.5286,-92.6131
St. Charles Power Station,LA,,85.00,,30.0051,-90.4617
Sterlington,LA,"1,352",8.00,"-1,344",32.7047,-92.0792
T J Labbe Electric Generating Station,LA,,10.00,,30.2554,-92.0433
Taft Cogeneration Facility,LA,,637.00,,29.9861,-90.4575
Teche Power Station,LA,"1,099",1289.00,190,29.8223,-91.5427
Waterford 1 & 2,LA,"2,146",617.00,"-1,529",29.9994,-90.4758
Willow Glen,LA,"4,858",,,30.2743,-91.1164
"ANP Bellingham Energy Company, LLC",MA,,104.00,,42.1113,-71.4529
"ANP Blackstone Energy Company, LLC",MA,,82.00,,42.0575,-71.5172
Bellingham,MA,,21.00,,42.0925,-71.4833
Berkshire Power,MA,,17.00,,42.0476,-72.6478
Brayton Point,MA,"10,400",,,41.7125,-71.1914
Canal Station,MA,"4,055",27.00,"-4,028",41.7694,-70.5097
Cleary Flood,MA,75,31.00,-44,41.8653,-71.1061
Dartmouth Power,MA,,6.00,,41.6728,-70.9989
Dighton,MA,,15.00,,41.8312,-71.1239
Exelon West Medway II,MA,,3.00,,42.1375,-71.444
Fore River Energy Center,MA,,107.00,,42.2417,-70.9653
Kendall Green Energy LLC,MA,137,48.00,-89,42.3633,-71.0792
MASSPOWER,MA,,41.00,,42.156,-72.5292
"Milford Power, LLC",MA,,23.00,,42.1292,-71.5122
Millennium Power Partners,MA,,42.00,,42.1127,-72.0152
Mount Tom,MA,"2,146",,,42.2814,-72.6053
Mystic,MA,"4,370",99.00,"-4,271",42.3917,-71.0667
New Boston,MA,"1,775",,,42.3406,-71.035
Potter,MA,,1.00,,42.235,-70.9672
Salem Harbor Station,MA,"4,294",,,42.5267,-70.8792
Salem Harbor Station NGCC,MA,,16.00,,42.5256,-70.8784
Somerset,MA,"1,656",,,41.737,-71.146
"Tanner Street Generation, LLC",MA,,2.00,,42.6308,-71.3133
West Springfield,MA,180,1.00,-179,42.0956,-72.5958
AES Warrior Run,MD,,459.00,,39.5944,-78.7456
Brandon Shores,MD,"24,713",999.00,"-23,714",39.1792,-76.5383
Brandywine Power Facility,MD,,87.00,,38.6681,-76.8678
C P Crane,MD,"12,223",,,39.3269,-76.365
CPV St. Charles Energy Center,MD,,60.00,,38.5686,-76.8919
Chalk Point,MD,"16,811",588.00,"-16,223",38.5444,-76.6861
Dickerson,MD,"11,570",238.00,"-11,332",39.2086,-77.4644
Gould Street,MD,160,,,39.2661,-76.6042
Herbert A Wagner,MD,"9,257",130.00,"-9,127",39.1781,-76.5268
Keys Energy Center,MD,,97.00,,38.6955,-76.8278
Morgantown,MD,"20,339",437.00,"-19,902",38.3592,-76.9767
Perryman,MD,,51.00,,39.4422,-76.2208
R. Paul Smith Power Station,MD,524,,,39.595,-77.8269
Riverside,MD,73,,,39.2369,-76.5133
Rock Springs Generating Facility,MD,,14.00,,39.7183,-76.1606
Vienna,MD,488,9.00,-479,38.4878,-75.8208
Westport,MD,,135.00,,39.2719,-76.6186
Wildcat Point Generation Facility,MD,,83.00,,39.7194,-76.1616
Androscoggin Energy,ME,,33.00,,44.5047,-70.2403
Bucksport Generation LLC,ME,,1.00,,44.5739,-68.8033
Maine Independence Station,ME,,22.00,,44.8236,-68.7106
Rumford Power,ME,,7.00,,44.5303,-70.5219
Westbrook Energy Center,ME,,64.00,,43.6576,-70.3772
William F Wyman,ME,"1,381",11.00,"-1,370",43.75,-70.1569
48th Street Peaking Station,MI,0,6.00,6,42.7553,-86.0853
Alpine Power Plant,MI,,85.00,,45.0624,-84.8261
B C Cobb,MI,"4,036",,,43.2542,-86.2417
Belle River,MI,"11,128",5527.00,"-5,601",42.7748,-82.4945
Cadillac Renewable Energy,MI,,131.00,,44.2634,-85.4348
DTE East China,MI,,42.00,,42.774,-82.4818
Dan E Karn,MI,"11,444",612.00,"-10,832",43.6425,-83.8431
Dearborn Industrial Generation,MI,,589.00,,42.3026,-83.154
Delray,MI,,3.00,,42.2947,-83.1019
Eckert Station,MI,"3,722",74.00,"-3,648",42.7183,-84.5586
Erickson,MI,"3,894",712.00,"-3,182",42.6919,-84.6572
Genesee Power Station,MI,,133.00,,43.0841,-83.6743
Grayling Generating Station,MI,,149.00,,44.6062,-84.6901
Greenwood,MI,263,627.00,364,43.1056,-82.6964
Hancock Peakers,MI,,24.00,,42.5497,-83.4425
Harbor Beach,MI,828,,,43.8519,-82.6436
Holland Energy Park,MI,,34.00,,42.793,-86.0925
J B Sims,MI,"1,035",296.00,-739,43.0722,-86.2342
J C Weadock,MI,"4,188",,,43.6425,-83.8431
J H Campbell,MI,"21,220",3217.00,"-18,003",42.9103,-86.2036
J R Whiting,MI,"8,988",,,41.7917,-83.4486
Jackson Generating Station,MI,,556.00,,42.2488,-84.3767
James De Young,MI,571,,,42.7956,-86.1133
Kalamazoo River Generating Station,MI,,18.00,,42.2797,-85.4922
Kalkaska CT Project #1,MI,,11.00,,44.6889,-85.2019
Lansing BWL REO Town Plant,MI,,100.00,,42.7197,-84.5518
Livingston Generating Station,MI,,25.00,,45.0291,-84.7332
Marysville,MI,214,,,42.9258,-82.4606
Michigan Hub Plant,MI,415,,,42.0317,-84.755
Michigan Power Limited Partnership,MI,,139.00,,43.94,-86.4247
Midland Cogeneration Venture,MI,,3885.00,,43.5861,-84.2242
Mistersky,MI,0,,,42.3038,-83.0904
Monroe,MI,"31,414",4992.00,"-26,422",41.8917,-83.3461
New Covert Generating Project,MI,,195.00,,42.3231,-86.2925
Presque Isle,MI,"11,852",531.00,"-11,321",46.5789,-87.395
Renaissance Power,MI,,194.00,,43.1864,-84.8429
River Rouge,MI,"9,439",1045.00,"-8,394",42.2733,-83.1131
Shiras,MI,374,,,46.5314,-87.3917
St. Clair,MI,"19,892",4634.00,"-15,258",42.7642,-82.4719
Sumpter Plant,MI,,61.00,,42.167,-83.5318
TES Filer City Station,MI,,1175.00,,44.217,-86.2906
Thetford,MI,,,,43.1568,-83.6285
Trenton Channel,MI,"9,375",1285.00,"-8,090",42.1236,-83.1811
Wyandotte,MI,443,6.00,-437,42.2081,-83.1453
Zeeland Generating Station,MI,,217.00,,42.82,-85.9988
Allen S King,MN,"21,697",913.00,"-20,784",45.03,-92.7786
Black Dog,MN,"6,571",130.00,"-6,441",44.8108,-93.2501
Blue Lake Generating Plant,MN,,38.00,,44.7855,-93.4315
Boswell Energy Center,MN,"16,402",2352.00,"-14,049",47.2603,-93.6531
Cambridge Station,MN,,22.00,,45.601,-93.2081
Cannon Falls Energy Center,MN,,48.00,,44.5364,-92.9147
Cascade Creek,MN,,38.00,,44.0322,-92.4908
Cottage Grove Cogeneration,MN,,22.00,,44.7956,-92.9119
Elk River,MN,,5.00,,45.2958,-93.5542
Faribault Energy Park,MN,,43.00,,44.3353,-93.2894
Fox Lake,MN,551,,,43.6728,-94.7074
Hibbard Energy Center,MN,375,442.00,67,46.7356,-92.1531
High Bridge,MN,"4,466",172.00,"-4,294",44.9331,-93.1075
Hoot Lake,MN,"1,402",486.00,-916,46.29,-96.0428
Hutchinson - Plant 2,MN,,9.00,,44.8889,-94.35
Inver Hills,MN,,26.00,,44.781,-93.042
Lakefield Junction Generating,MN,,14.00,,43.7984,-94.8415
Laskin Energy Center,MN,"1,008",14.00,-994,47.5306,-92.1619
Mankato Energy Center,MN,,64.00,,44.1965,-94.0099
Maple Lake Station,MN,,5.00,,45.229,-94.0097
Minnesota River Station,MN,,0.00,,44.795,-93.5808
Minnesota Valley,MN,259,,,44.8028,-95.5267
New Ulm,MN,,1.00,,44.3159,-94.4578
Northeast Station,MN,510,,,43.7014,-92.9626
Northshore Mining Silver Bay Power,MN,,682.00,,47.286,-91.26
Pleasant Valley Station,MN,,27.00,,43.7997,-92.6819
Riverside (1927),MN,"10,816",185.00,"-10,631",45.0203,-93.2753
Rock Lake Station,MN,,7.00,,45.819,-92.9702
Sherburne County,MN,"25,513",7626.00,"-17,887",45.3792,-93.8958
Silver Lake,MN,553,,,44.0281,-92.4597
Solway Plant,MN,,34.00,,47.5444,-95.1297
St. Bonifacius Station,MN,,4.00,,44.905,-93.821
Taconite Harbor Energy Center,MN,,,,47.5314,-90.9111
Asbury,MO,"7,564",819.00,"-6,745",37.3596,-94.5913
Audrain Power Plant,MO,,3.00,,39.3092,-91.5369
Blue Valley,MO,1,24.00,23,39.0919,-94.3261
Chamois Power Plant,MO,"1,316",,,38.6853,-91.7556
Chillicothe,MO,,32.00,,39.784,-93.562
Columbia,MO,236,3.00,-233,38.9658,-92.3175
Columbia Energy Center (MO),MO,,3.00,,39.0183,-92.2633
Dogwood Energy Facility,MO,,135.00,,38.7931,-94.3006
Empire District Elec Co Energy Ctr,MO,,105.00,,37.1385,-94.1041
Essex Power Plant,MO,,23.00,,36.8678,-89.8397
Fairgrounds,MO,,4.00,,38.5935,-92.2203
Greenwood Energy Center,MO,,31.00,,38.8615,-94.2982
Hawthorn,MO,"4,543",929.00,"-3,614",39.1306,-94.4778
Higginsville Municipal Power Plant,MO,,29.00,,39.0721,-93.721
Holden Power Plant,MO,,25.00,,38.7538,-93.9983
Iatan,MO,"9,452",2326.00,"-7,126",39.4472,-94.98
James River,MO,"3,429",139.00,"-3,290",37.1086,-93.2592
John Twitty Energy Center,MO,"1,751",702.00,"-1,049",37.1519,-93.3892
Labadie,MO,"17,696",6883.00,"-10,813",38.5583,-90.8361
Lake Road,MO,783,136.00,-647,39.7246,-94.8773
McCartney Generating Station,MO,,65.00,,37.2479,-93.1709
Meramec,MO,"6,624",469.00,"-6,155",38.4017,-90.3358
Mexico,MO,,6.00,,39.1481,-91.8306
Moberly,MO,,18.00,,39.4244,-92.4837
Montrose,MO,"6,657",,,38.3108,-93.9331
Moreau,MO,,17.00,,38.5553,-92.102
New Madrid Power Plant,MO,"45,987",14078.00,"-31,909",36.5147,-89.5617
Nodaway Power Plant,MO,,4.00,,40.2877,-94.7913
Northeast Generating Station,MO,,97.00,,39.1231,-94.5605
Peno Creek Energy Center,MO,,32.00,,39.3531,-91.2295
Ralph Green Station,MO,,18.00,,38.7865,-94.2768
Rush Island,MO,"12,309",2188.00,"-10,121",38.1306,-90.2625
Sibley,MO,"16,540",,,39.1778,-94.1861
Sikeston,MO,"4,263",812.00,"-3,451",36.8791,-89.6209
Sioux,MO,"19,365",4694.00,"-14,671",38.9158,-90.2917
South Harper Peaking Facility,MO,,114.00,,38.6803,-94.4824
St. Francis Power Plant,MO,,44.00,,36.5852,-90.1779
State Line (MO),MO,,167.00,,37.0659,-94.614
Thomas Hill Energy Center,MO,"21,384",8985.00,"-12,399",39.5531,-92.6392
Ackerman Combined Cycle Plant,MS,,143.00,,33.3806,-89.2039
Attala Generating Plant,MS,,69.00,,33.0142,-89.6758
Batesville Generation Facility,MS,,399.00,,34.3345,-89.9272
Baxter Wilson,MS,"16,338",1811.00,"-14,527",32.2831,-90.9306
Caledonia,MS,,156.00,,33.6464,-88.2717
Chevron Cogenerating Station,MS,238,97.00,-141,30.34,-88.492
Choctaw County Gen,MS,,151.00,,33.2881,-89.4201
Crossroads Energy Center (CPU),MS,,23.00,,34.183,-90.5621
Daniel Electric Generating Plant,MS,"7,521",3334.00,"-4,187",30.5335,-88.5574
David M Ratcliffe,MS,,162.00,,32.6538,-88.7574
Delta,MS,"1,271",,,33.7947,-90.7139
Gerald Andrus,MS,"8,305",730.00,"-7,575",33.3503,-91.1181
Hinds Energy Facility,MS,,118.00,,32.3781,-90.2169
Kemper County,MS,,48.00,,32.7976,-88.6057
Magnolia Combined Cycle Plant,MS,,174.00,,34.8358,-89.2017
Moselle Generation Complex,MS,"1,297",72.00,"-1,225",31.5289,-89.2992
R D Morrow Senior Generating Plant,MS,"4,364",,,31.2194,-89.3933
Red Hills Generation Facility,MS,,1742.00,,33.3761,-89.2183
Rex Brown,MS,"1,345",164.00,"-1,181",32.3564,-90.2125
Silver Creek Generating Plant,MS,,8.00,,31.6004,-89.9468
Southaven Combined Cycle Plant,MS,,142.00,,34.9939,-90.039
Sweatt Electric Generating Plant,MS,0,,,32.2925,-88.7461
Sylvarena Generating Plant,MS,,88.00,,31.9842,-89.4131
Watson Electric Generating Plant,MS,"6,564",4098.00,"-2,466",30.4408,-89.0265
Colstrip,MT,"25,902",13615.00,"-12,287",45.8831,-106.614
Culbertson Station,MT,,56.00,,48.2104,-104.3919
Dave Gates Generating Station,MT,,20.00,,46.1066,-112.8755
Glendive Generating Station,MT,,2.00,,47.0539,-104.74
Hardin Generating Station,MT,,78.00,,45.7578,-107.6
J E Corette,MT,"3,402",,,45.7747,-108.4803
Lewis & Clark,MT,"1,186",678.00,-508,47.6788,-104.1569
Asheville,NC,"14,323",776.00,"-13,547",35.4714,-82.5431
Belews Creek,NC,"80,774",5668.00,"-75,106",36.2811,-80.0603
Blewett,NC,,4.00,,34.9815,-79.8771
Buck,NC,"1,305",130.00,"-1,175",35.7133,-80.3767
Butler-Warner Generation Plant,NC,,30.00,,35.0986,-78.8294
CPI USA North Carolina Roxboro,NC,,458.00,,36.435,-78.9619
CPI USA North Carolina Southport,NC,,893.00,,33.9444,-78.0125
Cape Fear,NC,"5,171",,,35.595,-79.0492
Cleveland County Generating Facility,NC,,152.00,,35.1706,-81.4161
Cliffside,NC,"8,035",2486.00,"-5,549",35.22,-81.7594
Craven County Wood Energy,NC,,507.00,,35.1285,-77.17
Dan River,NC,"1,280",267.00,"-1,013",36.4862,-79.7208
"Edgecombe Genco, LLC",NC,,128.00,,36.0378,-77.7542
G G Allen,NC,"10,976",1346.00,"-9,630",35.1897,-81.0122
H F Lee Steam Electric Plant,NC,"4,435",951.00,"-3,484",35.3775,-78.0875
Kings Mountain Energy Center,NC,,59.00,,35.1986,-81.3604
L V Sutton,NC,"10,234",603.00,"-9,631",34.2824,-77.9864
Lincoln Combustion Turbine,NC,0,18.00,18,35.4317,-81.0347
Marshall,NC,"44,925",8751.00,"-36,174",35.5975,-80.9658
Mayo,NC,"14,085",1280.00,"-12,805",36.5278,-78.8917
NC Renewable Power - Lumberton LLC,NC,,209.00,,34.59,-78.9968
NCEMC Anson Plant,NC,,44.00,,34.9708,-79.9208
NCEMC Hamlet Plant,NC,,45.00,,34.8422,-79.7367
Plant Rowan County,NC,,241.00,,35.7325,-80.6019
Richmond County Plant,NC,,505.00,,34.8422,-79.7444
Riverbend,NC,"2,475",,,35.36,-80.9742
Rockingham County Combustion Turbine,NC,,244.00,,36.3297,-79.8297
Rosemary Power Station,NC,,4.00,,36.4525,-77.6594
Roxboro,NC,"59,233",4886.00,"-54,347",36.4833,-79.0731
W H Weatherspoon,NC,"1,218",15.00,"-1,203",34.5889,-78.975
Antelope Valley,ND,"12,035",3563.00,"-8,472",47.3714,-101.8344
Coal Creek,ND,"36,219",6515.00,"-29,704",47.3761,-101.1567
Coyote,ND,"14,452",5359.00,"-9,093",47.2217,-101.8139
Leland Olds,ND,"16,615",4979.00,"-11,636",47.2819,-101.3194
Lonesome Creek Station,ND,,57.00,,47.7966,-103.5783
Milton R Young,ND,"29,365",8598.00,"-20,767",47.0664,-101.2139
Pioneer Generating Station,ND,,24.00,,48.2325,-103.9528
R M Heskett,ND,541,958.00,417,46.8669,-100.8839
Spiritwood Station,ND,,230.00,,46.925,-98.5
Stanton,ND,"4,832",,,47.2872,-101.3314
Beatrice,NE,,34.00,,40.3286,-96.8067
C W Burdick,NE,43,2.00,-41,40.9228,-98.3269
Canaday,NE,,2.00,,40.6941,-99.7005
Cass County Station,NE,,72.00,,40.9472,-95.9667
Gerald Gentleman Station,NE,"19,088",7477.00,"-11,611",41.0808,-101.1408
Gerald Whelan Energy Center,NE,"1,076",796.00,-280,40.5806,-98.3106
Hallam Peaking,NE,,26.00,,40.5587,-96.7862
Hebron Peaking,NE,,8.00,,40.1879,-97.5779
J Street,NE,,14.00,,40.8078,-96.7107
Jones Street,NE,,77.00,,41.2517,-95.9235
Lon D Wright Power Plant,NE,258,445.00,187,41.4275,-96.4619
McCook Peaking,NE,,6.00,,40.2209,-100.6511
Nebraska City Station,NE,"10,618",4149.00,"-6,469",40.6215,-95.7765
North Omaha Station,NE,"9,099",3343.00,"-5,756",41.3297,-95.9458
Platte,NE,"1,062",564.00,-498,40.8538,-98.3481
Rokeby,NE,,40.00,,40.7316,-96.7364
Sarpy County Station,NE,,74.00,,41.1706,-95.9692
Sheldon,NE,"6,900",2024.00,"-4,876",40.5589,-96.7842
Terry Bundy Generating Station,NE,,52.00,,40.9108,-96.6147
Burgess BioPower,NH,,257.00,,44.4719,-71.1753
Granite Ridge Energy,NH,,94.00,,42.9043,-71.4251
Merrimack,NH,"21,363",425.00,"-20,938",43.1411,-71.4692
Newington,NH,"2,183",7.00,"-2,176",43.0974,-70.7834
Newington Energy,NH,,24.00,,43.1047,-70.8044
Schiller,NH,"1,661",203.00,"-1,458",43.0978,-70.7842
B L England,NJ,"9,608",,,39.29,-74.6339
Bayonne Energy Center,NJ,,36.00,,40.6529,-74.0916
"Bayonne Plant Holding, LLC",NJ,,,,40.6553,-74.1124
Bergen Generating Station,NJ,136,227.00,91,40.8375,-74.0244
Burlington Generating Station,NJ,55,7.00,-48,40.0753,-74.8781
"Camden Plant Holding, LLC",NJ,,13.00,,39.9175,-75.1192
Carlls Corner Energy Center,NJ,,57.00,,39.4547,-75.2011
Carneys Point,NJ,,529.00,,39.6928,-75.4867
Clayville,NJ,,7.00,,39.4245,-75.0201
Cumberland Energy Center,NJ,,12.00,,39.3757,-74.9654
Deepwater,NJ,"1,708",,,39.6747,-75.5015
"EFS Parlin Holdings, LLC",NJ,,3.00,,40.4586,-74.3327
Eagle Point Power Generation,NJ,,71.00,,39.8746,-75.1592
Elmwood Park Power - LLC,NJ,,0.00,,40.9056,-74.1308
Essex,NJ,,1.00,,40.7375,-74.1211
Forked River Power,NJ,,9.00,,39.8154,-74.2098
Gilbert Generating Station,NJ,399,9.00,-390,40.5661,-75.165
Howard M Down,NJ,,7.00,,39.4889,-75.0347
Hudson Generating Station,NJ,"6,344",,,40.7478,-74.0719
Kearny Generating Station,NJ,35,24.00,-11,40.7375,-74.1
Lakewood,NJ,,29.00,,40.0613,-74.1686
Linden Cogeneration Facility,NJ,,494.00,,40.6322,-74.2156
Linden Generating Station,NJ,295,160.00,-135,40.6225,-74.2097
Logan Generating Plant,NJ,,400.00,,39.7914,-75.4081
Mercer Generating Station,NJ,"10,661",,,40.1797,-74.7325
Mickleton Energy Center,NJ,,2.00,,39.8139,-75.2508
Newark Bay Cogen,NJ,,4.00,,40.7197,-74.13
